YES;Yes;Yes;Yes;;Yes;;;;;;;;;x
NO;No;No;No;;No;;;;;;;;;x
MODIFIER_NAVAL_CAPACITY;Naval Base Capacity;Naval Base Capacity;Naval Base Capacity;;Naval Base Capacity;;;;;;;;;x
MODIFIER_AIR_CAPACITY;Airbase Capacity;Airbase Capacity;Airbase Capacity;;Airbase Capacity;;;;;;;;;x
MODIFIER_ALIGN_TOWARDS;Align towards;Align towards;Align towards;;Align towards;;;;;;;;;x
MODIFIER_RADAR_LEVEL;Radar Level;Radar Level;Radar Level;;Radar Level;;;;;;;;;x
INTEL_NONE;No intel (0);No intel (0);No intel (0);;No intel (0);;;;;;;;;x
INTEL_STRUCTURES;Basic Intel (1);Basic Intel (1);Basic Intel (1);;Basic Intel (1);;;;;;;;;x
INTEL_UNITS;Basic Intel, divisions of unknown strength (2);Basic Intel, divisions of unknown strength (2);Basic Intel, divisions of unknown strength (2);;Basic Intel, divisions of unknown strength (2);;;;;;;;;x
INTEL_2;Intel lvl 3;Intel lvl 3;Intel lvl 3;;Intel lvl 3;;;;;;;;;x
INTEL_3;Intel lvl 4;Intel lvl 4;Intel lvl 4;;Intel lvl 4;;;;;;;;;x
INTEL_4;Intel lvl 5;Intel lvl 5;Intel lvl 5;;Intel lvl 5;;;;;;;;;x
INTEL_5;Intel lvl 6;Intel lvl 6;Intel lvl 6;;Intel lvl 6;;;;;;;;;x
INTEL_6;Intel lvl 7;Intel lvl 7;Intel lvl 7;;Intel lvl 7;;;;;;;;;x
INTEL_7;Intel lvl 8;Intel lvl 8;Intel lvl 8;;Intel lvl 8;;;;;;;;;x
MAX_INTEL_LEVEL;Full Intel (9);Full Intel (9);Full Intel (9);;Full Intel (9);;;;;;;;;x
April;April;April;April;;April;;;;;;;;;x
August;August;August;August;;August;;;;;;;;;x
December;December;December;December;;December;;;;;;;;;x
February;February;February;February;;February;;;;;;;;;x
Friday;Friday;Friday;Friday;;Friday;;;;;;;;;x
January;January;January;January;;January;;;;;;;;;x
July;July;July;July;;July;;;;;;;;;x
June;June;June;June;;June;;;;;;;;;x
March;March;March;March;;March;;;;;;;;;x
May;May;May;May;;May;;;;;;;;;x
Monday;Monday;Monday;Monday;;Monday;;;;;;;;;x
November;November;November;November;;November;;;;;;;;;x
October;October;October;October;;October;;;;;;;;;x
Saturday;Saturday;Saturday;Saturday;;Saturday;;;;;;;;;x
September;September;September;September;;September;;;;;;;;;x
Sunday;Sunday;Sunday;Sunday;;Sunday;;;;;;;;;x
Thursday;Thursday;Thursday;Thursday;;Thursday;;;;;;;;;x
Tuesday;Tuesday;Tuesday;Tuesday;;Tuesday;;;;;;;;;x
Wednesday;Wednesday;Wednesday;Wednesday;;Wednesday;;;;;;;;;x
GAIN;Gain;Gain;Gain;;Gain;;;;;;;;;x
LOSE;Lose;Lose;Lose;;Lose;;;;;;;;;x
SM_COUNTERS;Use Counters;Use Counters;Use Counters;;Use Counters;;;;;;;;;x
NO_COMMANDER;(No Commander);(No Commander);(No Commander);;(No Commander);;;;;;;;;x
MORALE;Morale;Morale;Morale;;Morale;;;;;;;;;x
Owned by $owner$, but currently occupied by $control$;Owned by $owner$, but currently occupied by $control$;Owned by $owner$, but currently occupied by $control$;Owned by $owner$, but currently occupied by $control$;;Owned by $owner$, but currently occupied by $control$;;;;;;;;;x
Owned by $owner$.;Owned by $owner$.;Owned by $owner$.;Owned by $owner$.;;Owned by $owner$.;;;;;;;;;x
CATEGORY;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;;($TYPE$)\n;;;;;;;;;x
ATTRITION_WEIGHT;Unit weight is 即$VALUE$劬;Unit weight is 即$VALUE$劬;Unit weight is 即$VALUE$劬;;Unit weight is 即$VALUE$劬;;;;;;;;;x
ATTRITION_MAX;Maximum of 即$VALUE$劬 percent in this location.;Maximum of 即$VALUE$劬 percent in this location.;Maximum of 即$VALUE$劬 percent in this location.;;Maximum of 即$VALUE$劬 percent in this location.;;;;;;;;;x
NO_LEADER;(no leader);(no leader);(no leader);;(no leader);;;;;;;;;x
CV_RULEDBY;Ruled by $NAME$;Ruled by $NAME$;Ruled by $NAME$;;Ruled by $NAME$;;;;;;;;;x
AND;and ;and ;and ;;and ;;;;;;;;;x
OR;or;or;or;;or;;;;;;;;;x
BUILD_COST;Build Cost;Build Cost;Build Cost;;Build Cost;;;;;;;;;x
LOCAL_REVOLT_RISK;Local Revolt Risk;Local Revolt Risk;Local Revolt Risk;;Local Revolt Risk;;;;;;;;;x
GLOBAL_REVOLT_RISK;National Revolt Risk;National Revolt Risk;National Revolt Risk;;National Revolt Risk;;;;;;;;;x
LOCAL_MANPOWER;Local Manpower Modifier;Local Manpower Modifier;Local Manpower Modifier;;Local Manpower Modifier;;;;;;;;;x
GLOBAL_MANPOWER;National Manpower Modifier;National Manpower Modifier;National Manpower Modifier;;National Manpower Modifier;;;;;;;;;x
ATTRITION;Attrition;Attrition;Attrition;;Attrition;;;;;;;;;x
MAX_ATTRITION;Maximum Attrition;Maximum Attrition;Maximum Attrition;;Maximum Attrition;;;;;;;;;x
SUPPLY_LIMIT;Supply Limit;Supply Limit;Supply Limit;;Supply Limit;;;;;;;;;x
MAX_WAR_EXHAUSTION;Maximum War Exhaustion;Maximum War Exhaustion;Maximum War Exhaustion;;Maximum War Exhaustion;;;;;;;;;x
FORT_LEVEL;Fort Level;Fort Level;Fort Level;;Fort Level;;;;;;;;;x
BACK_TO_MAIN;Return to main interface.;Return to main interface.;Return to main interface.;;Return to main interface.;;;;;;;;;x
ALLREADYTHERE;This building is already built.;This building is already built.;This building is already built.;;This building is already built.;;;;;;;;;x
NOTECH;We must reach level 即$LVL$劬 in 即$TABLE$劬 before building this.;We must reach level 即$LVL$劬 in 即$TABLE$劬 before building this.;We must reach level 即$LVL$劬 in 即$TABLE$劬 before building this.;;We must reach level 即$LVL$劬 in 即$TABLE$劬 before building this.;;;;;;;;;x
REQ;You cannot build this without first building;You cannot build this without first building;You cannot build this without first building;;You cannot build this without first building;;;;;;;;;x
NOTBUILD;This building cannot be built here.;This building cannot be built here.;This building cannot be built here.;;This building cannot be built here.;;;;;;;;;x
ISBLOCKED;You may not build this if you have already built;You may not build this if you have already built;You may not build this if you have already built;;You may not build this if you have already built;;;;;;;;;x
CONFIRMBUILDTITLE;Confirm build.;Confirm build.;Confirm build.;;Confirm build.;;;;;;;;;x
CONFIRMBUILDTEXT;Are you sure you wish to build;Are you sure you wish to build;Are you sure you wish to build;;Are you sure you wish to build;;;;;;;;;x
ONGOINGBUILD;A construction is currently in progress.;A construction is currently in progress.;A construction is currently in progress.;;A construction is currently in progress.;;;;;;;;;x
NOT_IN_CAPITAL;$BUILDING$ can only be built in a capital.;$BUILDING$ can only be built in a capital.;$BUILDING$ can only be built in a capital.;;$BUILDING$ can only be built in a capital.;;;;;;;;;x
NOT_IN_PORT;$BUILDING$ can only be built in a port.;$BUILDING$ can only be built in a port.;$BUILDING$ can only be built in a port.;;$BUILDING$ can only be built in a port.;;;;;;;;;x
COST;Cost: 即$AMOUNT$劬 Ducats \nBuildtime: 即$TIME$劬 Days;Cost: 即$AMOUNT$劬 Ducats \nBuildtime: 即$TIME$劬 Days;Cost: 即$AMOUNT$劬 Ducats \nBuildtime: 即$TIME$劬 Days;;Cost: 即$AMOUNT$劬 Ducats \nBuildtime: 即$TIME$劬 Days;;;;;;;;;x
PROVINCE_OCCUPIED;This province is occupied.;This province is occupied.;This province is occupied.;;This province is occupied.;;;;;;;;;x
ATWARWITHUS;They are at war with us.;They are at war with us.;They are at war with us.;;They are at war with us.;;;;;;;;;x
ALLIEDWITHTHEM;We are allied with them.;We are allied with them.;We are allied with them.;;We are allied with them.;;;;;;;;;x
WEGUARANTEED;We are guaranteeing their independence.;We are guaranteeing their independence.;We are guaranteeing their independence.;;We are guaranteeing their independence.;;;;;;;;;x
THEYGUARANTING;They are guaranteeing our independence.;They are guaranteeing our independence.;They are guaranteeing our independence.;;They are guaranteeing our independence.;;;;;;;;;x
NEUTRAL;We are neutral towards them.;We are neutral towards them.;We are neutral towards them.;;We are neutral towards them.;;;;;;;;;x
RELATION;Current relation: $RELATION$;Current relation: $RELATION$;Current relation: $RELATION$;;Current relation: $RELATION$;;;;;;;;;x
SUBJECT;We are a subject country. It is not up to us.;We are a subject country. It is not up to us.;We are a subject country. It is not up to us.;;We are a subject country. It is not up to us.;;;;;;;;;x
NODIPLOMATS;You have no diplomats to send.;You have no diplomats to send.;You have no diplomats to send.;;You have no diplomats to send.;;;;;;;;;x
NO_REBELS;You are always at war with rebels.;You are always at war with rebels.;You are always at war with rebels.;;You are always at war with rebels.;;;;;;;;;x
CV_NORELATION;We currently have no diplomatic relations with this country.;We currently have no diplomatic relations with this country.;We currently have no diplomatic relations with this country.;;We currently have no diplomatic relations with this country.;;;;;;;;;x
CV_GOVTTYPE;$COUNTRY$ is a $GOVT$;$COUNTRY$ is a $GOVT$;$COUNTRY$ is a $GOVT$;;$COUNTRY$ is a $GOVT$;;;;;;;;;x
BASE;Base:;Base:;Base:;;Base:;;;;;;;;;x
NORMAL_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;$ORDER$$FIRST$-$SECOND$ War;$ORDER$$FIRST$-$SECOND$ War;;$ORDER$$FIRST$-$SECOND$ War;;;;;;;;;x
AGRESSION_WAR_NAME;$ORDER$War of $FIRST$ Aggression;$ORDER$War of $FIRST$ Aggression;$ORDER$War of $FIRST$ Aggression;;$ORDER$War of $FIRST$ Aggression;;;;;;;;;x
COUNTRY_MORALE_TECH;From technology:;From technology:;From technology:;;From technology:;;;;;;;;;x
DAYS;Days;Days;Days;;Days;;;;;;;;;x
NOMONEY;You don't have enough money.;You don't have enough money.;You don't have enough money.;;You don't have enough money.;;;;;;;;;x
VASSALPROV;They will receive the following provinces:;They will receive the following provinces:;They will receive the following provinces:;;They will receive the following provinces:;;;;;;;;;x
COREINFO;$COUNTRY$ considers this to be one of her core provinces. ;$COUNTRY$ considers this to be one of her core provinces. ;$COUNTRY$ considers this to be one of her core provinces. ;;$COUNTRY$ considers this to be one of her core provinces. ;;;;;;;;;x
overseas;No land connection to capital;No land connection to capital;No land connection to capital;;No land connection to capital;;;;;;;;;x
coastal;Coastal;Coastal;Coastal;;Coastal;;;;;;;;;x
non_coastal;Non Coastal;Non Coastal;Non Coastal;;Non Coastal;;;;;;;;;x
coastal_sea;Coastal Sea;Coastal Sea;Coastal Sea;;Coastal Sea;;;;;;;;;x
tropical;Tropical;Tropical;Tropical;;Tropical;;;;;;;;;x
sea_zone;Sea Zone;Sea Zone;Sea Zone;;Sea Zone;;;;;;;;;x
land_province;Land Province;Land Province;Land Province;;Land Province;;;;;;;;;x
out_of_supply;Out of Supply;Out of Supply;Out of Supply;;Out of Supply;;;;;;;;;x
blockaded;Blockaded;Blockaded;Blockaded;;Blockaded;;;;;;;;;x
no_adjacent_controlled;No Adjacent Controlled;No Adjacent Controlled;No Adjacent Controlled;;No Adjacent Controlled;;;;;;;;;x
provincial_tax_income;Provincial Tax Income;Provincial Tax Income;Provincial Tax Income;;Provincial Tax Income;;;;;;;;;x
city_population;City Population;City Population;City Population;;City Population;;;;;;;;;x
core;Core;Core;Core;;Core;;;;;;;;;x
occupied;Occupied;Occupied;Occupied;;Occupied;;;;;;;;;x
revolt_risk;Revolt Risk;Revolt Risk;Revolt Risk;;Revolt Risk;;;;;;;;;x
nationalism;Nationalism;Nationalism;Nationalism;;Nationalism;;;;;;;;;x
war;War;War;War;;War;;;;;;;;;x
peace;Peace;Peace;Peace;;Peace;;;;;;;;;x
ENABLES;Enables $WHICH$.\n;Enables $WHICH$.\n;Enables $WHICH$.\n;;Enables $WHICH$.\n;;;;;;;;;x
NOT_FROM_THIS_GOV;It is not possible to convert to this government type from our current form of government.;It is not possible to convert to this government type from our current form of government.;It is not possible to convert to this government type from our current form of government.;;It is not possible to convert to this government type from our current form of government.;;;;;;;;;x
NO_SHIPS;No ships;No ships;No ships;;No ships;;;;;;;;;x
NOT_EXIST;$TAG$ does not exist at this time.;$TAG$ does not exist at this time.;$TAG$ does not exist at this time.;;$TAG$ does not exist at this time.;;;;;;;;;x
NOT_SELECT;All players must select a country.;All players must select a country.;All players must select a country.;;All players must select a country.;;;;;;;;;x
NOALLIES;No Allies;No Allies;No Allies;;No Allies;;;;;;;;;x
SHORTCUT_SHIELD;$TAG$ is an interesting choice during this period. Click to select it.;$TAG$ is an interesting choice during this period. Click to select it.;$TAG$ is an interesting choice during this period. Click to select it.;;$TAG$ is an interesting choice during this period. Click to select it.;;;;;;;;;x
I Do.;Let's Do it;Let's Do it;Let's Do it;;Let's Do it;;;;;;;;;x
Run away!;I'm not sure, maybe later;I'm not sure, maybe later;I'm not sure, maybe later;;I'm not sure, maybe later;;;;;;;;;x
DECWARREQDESC;Declaring war is, sometimes, the last resort of diplomacy. The act of declaring war will reduce the view other countries have of you, especially if you do not have a legitimate reason to do so. It may also reduce your stability. Are you sure you wish to do this?;Declaring war is, sometimes, the last resort of diplomacy. The act of declaring war will reduce the view other countries have of you, especially if you do not have a legitimate reason to do so. It may also reduce your stability. Are you sure you wish to do this?;Declaring war is, sometimes, the last resort of diplomacy. The act of declaring war will reduce the view other countries have of you, especially if you do not have a legitimate reason to do so. It may also reduce your stability. Are you sure you wish to do this?;;Declaring war is, sometimes, the last resort of diplomacy. The act of declaring war will reduce the view other countries have of you, especially if you do not have a legitimate reason to do so. It may also reduce your stability. Are you sure you wish to do this?;;;;;;;;;x
IN;in;in;in;;in;;;;;;;;;x
MORE_THAN_THREE_PROV;more than 3 provinces.;more than 3 provinces.;more than 3 provinces.;;more than 3 provinces.;;;;;;;;;x
DECWARDESC;Selecting this option will allow you to offer a peace deal to your enemy;Selecting this option will allow you to offer a peace deal to your enemy;Selecting this option will allow you to offer a peace deal to your enemy;;Selecting this option will allow you to offer a peace deal to your enemy;;;;;;;;;x
BUILDING_YEAR;Built in 即$DATE$劬.;Built in 即$DATE$劬.;Built in 即$DATE$劬.;;Built in 即$DATE$劬.;;;;;;;;;x
BEFORE_START;Before the game's timeframe.;Before the game's timeframe.;Before the game's timeframe.;;Before the game's timeframe.;;;;;;;;;x
MIL_CONST_TIP;A 即$TYPE$劬 will be fielded here on 即$DATE$劬.;A 即$TYPE$劬 will be fielded here on 即$DATE$劬.;A 即$TYPE$劬 will be fielded here on 即$DATE$劬.;;A 即$TYPE$劬 will be fielded here on 即$DATE$劬.;;;;;;;;;x
BUILD_CONST_TIP;A 即$BUILDING$劬 will be finished here in 即$DATE$劬.;A 即$BUILDING$劬 will be finished here in 即$DATE$劬.;A 即$BUILDING$劬 will be finished here in 即$DATE$劬.;;A 即$BUILDING$劬 will be finished here in 即$DATE$劬.;;;;;;;;;x
PORT;This is a naval base from which our fleets can operate.;This is a naval base from which our fleets can operate.;This is a naval base from which our fleets can operate.;;This is a naval base from which our fleets can operate.;;;;;;;;;x
WARTAX_TIP;Raise War Taxes;Raise War Taxes;Raise War Taxes;;Raise War Taxes;;;;;;;;;x
INCREASED;increased;increased;increased;;increased;;;;;;;;;x
DECREASED;decreased;decreased;decreased;;decreased;;;;;;;;;x
NO_ADVISORS;No Advisors available.;No Advisors available.;No Advisors available.;;No Advisors available.;;;;;;;;;x
NO_WAR_MIL_ACC;We have Military Access to their nation.;We have Military Access to their nation.;We have Military Access to their nation.;;We have Military Access to their nation.;;;;;;;;;x
NAVY_COMBAT_TOOLTIP;Type: $TYPE$ \n Strength: $STR$;Type: $TYPE$ \n Strength: $STR$;Type: $TYPE$ \n Strength: $STR$;;Type: $TYPE$ \n Strength: $STR$;;;;;;;;;x
ISATWAR;You can not ask for Military Access when you are at war.;You can not ask for Military Access when you are at war.;You can not ask for Military Access when you are at war.;;You can not ask for Military Access when you are at war.;;;;;;;;;x
DIPLOICON_TIP;$TYPE$ from 即$NATION$劬. \n If we do not respond before 即$DATE$劬 we will autodecline.;$TYPE$ from 即$NATION$劬. \n If we do not respond before 即$DATE$劬 we will autodecline.;$TYPE$ from 即$NATION$劬. \n If we do not respond before 即$DATE$劬 we will autodecline.;;$TYPE$ from 即$NATION$劬. \n If we do not respond before 即$DATE$劬 we will autodecline.;;;;;;;;;x
DIPLOICON_TIP_NONATION;$TYPE$. \n If we do not respond before 即$DATE$劬 we will autodecline.;$TYPE$. \n If we do not respond before 即$DATE$劬 we will autodecline.;$TYPE$. \n If we do not respond before 即$DATE$劬 we will autodecline.;;$TYPE$. \n If we do not respond before 即$DATE$劬 we will autodecline.;;;;;;;;;x
VERY_EASY;Very Easy;Very Easy;Very Easy;;Very Easy;;;;;;;;;x
EASY;Easy;Easy;Easy;;Easy;;;;;;;;;x
NORMAL;Normal;Normal;Normal;;Normal;;;;;;;;;x
HARD;Hard;Hard;Hard;;Hard;;;;;;;;;x
VERY_HARD;Very Hard;Very Hard;Very Hard;;Very Hard;;;;;;;;;x
NEVER;Never;Never;Never;;Never;;;;;;;;;x
MONTHLY;Monthly;Monthly;Monthly;;Monthly;;;;;;;;;x
HALFYEAR;Half Year;Half Year;Half Year;;Half Year;;;;;;;;;x
YEARLY;Yearly;Yearly;Yearly;;Yearly;;;;;;;;;x
FIVE_YEAR;Five Years;Five Years;Five Years;;Five Years;;;;;;;;;x
YEARS;Years;Years;Years;;Years;;;;;;;;;x
MONTHS;Months;Months;Months;;Months;;;;;;;;;x
NAVAL_COMBAT;Naval Combat;Naval Combat;Naval Combat;;Naval Combat;;;;;;;;;x
ATTACKER;Attacker;Attacker;Attacker;;Attacker;;;;;;;;;x
DEFENDER;Defender;Defender;Defender;;Defender;;;;;;;;;x
UNIT_PANEL;Reorganise Unit;Reorganise Unit;Reorganise Unit;;Reorganise Unit;;;;;;;;;x
WEANNEX;We demand their full Annexation.;We demand their full Annexation.;We demand their full Annexation.;;We demand their full Annexation.;;;;;;;;;x
OTHERANNEX;Full Annexation was demanded.;Full Annexation was demanded.;Full Annexation was demanded.;;Full Annexation was demanded.;;;;;;;;;x
AGREE;Agree;Agree;Agree;;Agree;;;;;;;;;x
DECLINE;Decline;Decline;Decline;;Decline;;;;;;;;;x
NOMANPOWER;We need at least 1000 able bodied men (Manpower) to build this unit.;We need at least 1000 able bodied men (Manpower) to build this unit.;We need at least 1000 able bodied men (Manpower) to build this unit.;;We need at least 1000 able bodied men (Manpower) to build this unit.;;;;;;;;;x
ESTIMATE_ARIVAL;Will arrive in $PROV$ on $DATE$;Will arrive in $PROV$ on $DATE$;Will arrive in $PROV$ on $DATE$;;Will arrive in $PROV$ on $DATE$;;;;;;;;;x
UNDER_SIEGE;Province is under siege!;Province is under siege!;Province is under siege!;;Province is under siege!;;;;;;;;;x
OCCUPIEDBY;Province is occupied by $NATION$!;Province is occupied by $NATION$!;Province is occupied by $NATION$!;;Province is occupied by $NATION$!;;;;;;;;;x
OL_UNIT_MOVING;Moving towards 即$TARGET$劬.;Moving towards 即$TARGET$劬.;Moving towards 即$TARGET$劬.;;Moving towards 即$TARGET$劬.;;;;;;;;;x
pti;Permanent Terra Incognita;Permanent Terra Incognita;Permanent Terra Incognita;;Permanent Terra Incognita;;;;;;;;;x
nobuilding;nobuilding;nobuilding;nobuilding;;nobuilding;;;;;;;;;x
nogovernment;nogovernment;nogovernment;nogovernment;;nogovernment;;;;;;;;;x
nogovernment_ruler;nogovernment_ruler;nogovernment_ruler;nogovernment_ruler;;nogovernment_ruler;;;;;;;;;x
COMBAT_MORALE;Morale:;Morale:;Morale:;;Morale:;;;;;;;;;x
COMBAT_BREAKING;Breaking;Breaking;Breaking;;Breaking;;;;;;;;;x
MAPMODE;Map-mode;Map-mode;Map-mode;;Map-mode;;;;;;;;;x
LEDGER_CORE;Core;Core;Core;;Core;;;;;;;;;x
LEDGER_NOT_CORE;Not Core;Not Core;Not Core;;Not Core;;;;;;;;;x
ACCEPT;Accept;Accept;Accept;;Accept;;;;;;;;;x
COMBAT_ASSAULT;Assault;Assault;Assault;;Assault;;;;;;;;;x
notechgroup;notechgroup;notechgroup;notechgroup;;notechgroup;;;;;;;;;x
culture_ideas;culture_ideas;culture_ideas;culture_ideas;;culture_ideas;;;;;;;;;x
neighbor_bonus;Neighbour bonus;Neighbour bonus;Neighbour bonus;;Neighbour bonus;;;;;;;;;x
PLAY;PLAY;PLAY;PLAY;;PLAY;;;;;;;;;x
DOMESTIC_NATION;nation;nation;nation;;nation;;;;;;;;;x
DOMESTIC_RELATION;relation;relation;relation;;relation;;;;;;;;;x
LOST_PLR;Lost Player;Lost Player;Lost Player;;Lost Player;;;;;;;;;x
SAVE_LOADED;Save Game Loaded...;Save Game Loaded...;Save Game Loaded...;;Save Game Loaded...;;;;;;;;;x
COMPRESS_ERROR;Compression Error...;Compression Error...;Compression Error...;;Compression Error...;;;;;;;;;x
MS_LOGOUT;Logout;Logout;Logout;;Logout;;;;;;;;;x
PW_POPULATION;Population ;Population ;Population ;;Population ;;;;;;;;;x
PW_UNITS;Units;Units;Units;;Units;;;;;;;;;x
GOTO_HEADER;Province Finder;Province Finder;Province Finder;;Province Finder;;;;;;;;;x
